2026-08-04T13:25:56	tier-overview	00-whole-lake-overview	context	24000	/Users/austinlakescapes/drawdown-2026-campaign/05_Lake_Austin_ShotPack_and_Ops/shot-pack/screenshots-2017/tier-overview/00-whole-lake-overview__2017_context.png
2026-08-04T13:26:06	tier-A	N1-tarrytownlake-austin-blvd-corridor	context	1540	/Users/austinlakescapes/drawdown-2026-campaign/05_Lake_Austin_ShotPack_and_Ops/shot-pack/screenshots-2017/tier-A/N1-tarrytownlake-austin-blvd-corridor__2017_context.png
2026-08-04T13:26:16	tier-A	N3-mount-bonnell-shores-dry-creek-mouth	context	1320	/Users/austinlakescapes/drawdown-2026-campaign/05_Lake_Austin_ShotPack_and_Ops/shot-pack/screenshots-2017/tier-A/N3-mount-bonnell-shores-dry-creek-mouth__2017_context.png
2026-08-04T13:26:26	tier-A	N4-watersedge-gated	context	1100	/Users/austinlakescapes/drawdown-2026-campaign/05_Lake_Austin_ShotPack_and_Ops/shot-pack/screenshots-2017/tier-A/N4-watersedge-gated__2017_context.png
2026-08-04T13:26:36	tier-A	N5-the-island-at-mount-bonnell-shores-canal-grid	context	990	/Users/austinlakescapes/drawdown-2026-campaign/05_Lake_Austin_ShotPack_and_Ops/shot-pack/screenshots-2017/tier-A/N5-the-island-at-mount-bonnell-shores-canal-grid__2017_context.png
2026-08-04T13:26:46	tier-A	N6-the-courtyard-gated-bull-creek-arm	context	1210	/Users/austinlakescapes/drawdown-2026-campaign/05_Lake_Austin_ShotPack_and_Ops/shot-pack/screenshots-2017/tier-A/N6-the-courtyard-gated-bull-creek-arm__2017_context.png
2026-08-04T13:26:55	tier-A	N8-greenshores-on-lake-austin	context	1320	/Users/austinlakescapes/drawdown-2026-campaign/05_Lake_Austin_ShotPack_and_Ops/shot-pack/screenshots-2017/tier-A/N8-greenshores-on-lake-austin__2017_context.png
